variable,coefficient_judge_model,coefficient_fan_model
P__Valentin Chmerkovskiy,2.5762659131926586,-0.3019767815420718
I__Other,4.6120305331909455,1.404202112418029
P__Sharna Burgess,1.0363688710359245,-0.578953081572833
P__Sasha Farber,1.4529170595294616,-0.21509149828678106
age,-0.09152340992051067,0.006517931754847397
P__Jenna Johnson,-0.2648703167881711,-0.3955324918009443
P__Cheryl Burke,-0.9383551302655849,0.5267854074791345
I__Singer,4.825977027307135,1.5059273779673843
P__Louis van Amstel,-2.2487794079799412,0.9811292167317966
P__Kym Johnson,-1.2180757540064193,1.0717257862867502
I__Actor,5.135399804279488,1.4841277449352162
P__Tony Dovolani,-0.9198850563775809,0.575842355803016
I__Athlete,4.807613677949869,1.39268908301962
P__Maksim Chmerkoskiy,-0.17665831606420684,0.8271571216652299
P__Witney Carson,2.2652174209914007,-0.599107561349154
P__Emma Slater,0.7273884981206081,-0.09848064371161974
P__Lindsay Arnold,-0.3126308904230398,-0.2688168900786272
P__Other,-1.404733653825235,0.6013241465115393
P__Mark Ballas,0.7213012625281613,0.4518237247439955
P__Peta Murgatroyd,0.16268191699755302,-0.2113015901553299
P__Karina Smirnoff,-2.312608690522435,0.8326064001622145
P__Derek Hough,1.4276499802116644,0.42210171742598407
P__Artem Chigvintsev,3.6016776707585647,0.14490242464906153
P__Edyta Sliwinska,-3.222603527586586,1.280817744557906
P__Gleb Savchenko,0.4638410501556482,-0.05794470992522253
week,1.1447467529560584,0.20280969453963005
