w_base,alpha,tau,delta,f1_elitism,f2_excitement,f3_disaster
0.5,0.05,0.2,0,0.6459971305936126,0.772831926323868,0.058823529411764705
0.5,0.05,0.25,0,0.6459971305936126,0.772831926323868,0.058823529411764705
0.5,0.05,0.3,0,0.6459971305936126,0.772831926323868,0.058823529411764705
0.5,0.1,0.2,0,0.6551703103550277,0.7720644666155027,0.058823529411764705
0.5,0.1,0.25,0,0.6551703103550277,0.7720644666155027,0.058823529411764705
0.5,0.1,0.3,0,0.6551703103550277,0.7720644666155027,0.058823529411764705
0.55,0.05,0.2,0,0.6648114924582612,0.7689946277820414,0.058823529411764705
0.55,0.05,0.25,0,0.6648114924582612,0.7689946277820414,0.058823529411764705
0.55,0.05,0.3,0,0.6648114924582612,0.7689946277820414,0.058823529411764705
0.55,0.2,0.2,0,0.6613617067473919,0.7682271680736761,0.029411764705882353
0.55,0.2,0.25,0,0.6613617067473919,0.7682271680736761,0.029411764705882353
0.55,0.2,0.3,0,0.6613617067473919,0.7682271680736761,0.029411764705882353
